bif_mean,bif_std,bif_max,bif_min,rtt_avg,label
7240.0,1448.0,8688.0,5792.0,0.305605,bbr
8398.4,1211.4837184213413,10136.0,7240.0,0.303794,bbr
8688.0,1448.0,10136.0,7240.0,0.3080035,bbr
8688.0,1448.0,10136.0,7240.0,0.3388685,bbr
8108.8,1650.9740155435518,10136.0,5792.0,0.31501599999999996,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.312428,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.31064650000000005,bbr
3764.8,1650.9740155435518,5792.0,1448.0,0.174844,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.1753455,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.1710575,bbr
4344.0,1448.0,5792.0,2896.0,0.1677225,bbr
4344.0,1448.0,5792.0,2896.0,0.163354,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.160746,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.158704,bbr
4344.0,1448.0,5792.0,2896.0,0.155963,bbr
5502.4,1211.4837184213413,7240.0,4344.0,0.167868,bbr
6516.0,1518.6752121503794,8688.0,4344.0,0.203234,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.239178,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.274351,bbr
10549.714285714286,1094.585113834722,11584.0,8688.0,0.311824,bbr
14273.142857142857,1302.8168748998492,15928.0,13032.0,0.0,bbr
16652.0,2549.467081568225,18824.0,11584.0,0.559169,bbr
13032.0,2243.231954123336,14480.0,8688.0,0.545112,bbr
11997.714285714286,1611.185662205085,14480.0,10136.0,0.0,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.301084,bbr
7240.0,1448.0,8688.0,5792.0,0.2673035,bbr
7240.0,1448.0,8688.0,5792.0,0.265252,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.261338,bbr
7240.0,1448.0,8688.0,5792.0,0.259596,bbr
7240.0,1448.0,8688.0,5792.0,0.25626899999999997,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.254678,bbr
8481.142857142857,1302.8168748998492,10136.0,7240.0,0.2695106666666666,bbr
10618.666666666666,1182.2870491833473,11584.0,8688.0,0.364887,bbr
14273.142857142857,999.2149299277289,15928.0,13032.0,0.0,bbr
17858.666666666668,1182.2870491833473,18824.0,15928.0,0.0,bbr
12308.0,1518.6752121503794,14480.0,10136.0,0.563096,bbr
9653.333333333334,4455.198970491292,15928.0,5792.0,0.31704200000000005,bbr
7240.0,1448.0,8688.0,5792.0,0.28220049999999997,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.28138,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.279852,bbr
7240.0,1448.0,8688.0,5792.0,0.278912,bbr
7240.0,1448.0,8688.0,5792.0,0.2760705,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.275062,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.27336499999999997,bbr
9653.333333333334,1495.4879694155572,11584.0,7240.0,0.3343645,bbr
